name,available,active_power_flow,active_power_limits_from,active_power_limits_to,reactive_power_limits_from,reactive_power_limits_to,loss,services,from_bus_name,from_bus_id,from_bus_voltage,from_bus_area,to_bus_name,to_bus_id,to_bus_voltage,to_bus_area
Newark_NRS_HVDC,true,0.0,"(min = -10.0, max = 10.0)","(min = -10.0, max = 10.0)","(min = -5.0, max = 5.0)","(min = -5.0, max = 5.0)","LinearCurve(0.0, 0.0)",Service[],bus-8335,8335,230.0,0,bus-8814,8814,115.0,0
Metcalf_SanJoseB_HVDC,true,0.0,"(min = -10.0, max = 10.0)","(min = -10.0, max = 10.0)","(min = -5.0, max = 5.0)","(min = -5.0, max = 5.0)","LinearCurve(0.0, 0.0)",Service[],bus-1819,1819,500.0,0,bus-1258,1258,115.0,0
