DateTime,name,value
2019-01-01T00:00:00.0,gen-2064,1.0
2019-01-01T01:00:00.0,gen-2064,-0.0
2019-01-01T00:00:00.0,gen-243,1.0
2019-01-01T01:00:00.0,gen-243,-0.0
2019-01-01T00:00:00.0,gen-1400,1.0
2019-01-01T01:00:00.0,gen-1400,-0.0
2019-01-01T00:00:00.0,gen-160,1.0
2019-01-01T01:00:00.0,gen-160,-0.0
2019-01-01T00:00:00.0,gen-629,1.0
2019-01-01T01:00:00.0,gen-629,-0.0
2019-01-01T00:00:00.0,gen-696,1.0
2019-01-01T01:00:00.0,gen-696,-0.0
2019-01-01T00:00:00.0,gen-1486,1.0
2019-01-01T01:00:00.0,gen-1486,-0.0
2019-01-01T00:00:00.0,gen-975,1.0
2019-01-01T01:00:00.0,gen-975,-0.0
2019-01-01T00:00:00.0,gen-424,1.0
2019-01-01T01:00:00.0,gen-424,-0.0
2019-01-01T00:00:00.0,gen-1401,1.0
2019-01-01T01:00:00.0,gen-1401,-0.0
2019-01-01T00:00:00.0,gen-2112,1.0
2019-01-01T01:00:00.0,gen-2112,-0.0
2019-01-01T00:00:00.0,gen-867,1.0
2019-01-01T01:00:00.0,gen-867,-0.0
2019-01-01T00:00:00.0,gen-1432,1.0
2019-01-01T01:00:00.0,gen-1432,-0.0
2019-01-01T00:00:00.0,gen-1006,1.0
2019-01-01T01:00:00.0,gen-1006,-0.0
2019-01-01T00:00:00.0,gen-607,1.0
2019-01-01T01:00:00.0,gen-607,-0.0
2019-01-01T00:00:00.0,gen-1413,1.0
2019-01-01T01:00:00.0,gen-1413,-0.0
2019-01-01T00:00:00.0,gen-1483,1.0
2019-01-01T01:00:00.0,gen-1483,-0.0
2019-01-01T00:00:00.0,gen-1532,1.0
2019-01-01T01:00:00.0,gen-1532,-0.0
2019-01-01T00:00:00.0,gen-1247,1.0
2019-01-01T01:00:00.0,gen-1247,-0.0
2019-01-01T00:00:00.0,gen-409,1.0
2019-01-01T01:00:00.0,gen-409,-0.0
2019-01-01T00:00:00.0,gen-978,1.0
2019-01-01T01:00:00.0,gen-978,-0.0
2019-01-01T00:00:00.0,gen-1381,1.0
2019-01-01T01:00:00.0,gen-1381,-0.0
2019-01-01T00:00:00.0,gen-445,1.0
2019-01-01T01:00:00.0,gen-445,-0.0
2019-01-01T00:00:00.0,gen-1716,1.0
2019-01-01T01:00:00.0,gen-1716,-0.0
2019-01-01T00:00:00.0,gen-671,1.0
2019-01-01T01:00:00.0,gen-671,-0.0
2019-01-01T00:00:00.0,gen-769,1.0
2019-01-01T01:00:00.0,gen-769,-0.0
2019-01-01T00:00:00.0,gen-983,1.0
2019-01-01T01:00:00.0,gen-983,-0.0
2019-01-01T00:00:00.0,gen-668,1.0
2019-01-01T01:00:00.0,gen-668,-0.0
2019-01-01T00:00:00.0,gen-1219,1.0
2019-01-01T01:00:00.0,gen-1219,-0.0
2019-01-01T00:00:00.0,gen-868,1.0
2019-01-01T01:00:00.0,gen-868,-0.0
2019-01-01T00:00:00.0,gen-407,0.0
2019-01-01T01:00:00.0,gen-407,0.0
2019-01-01T00:00:00.0,gen-227,1.0
2019-01-01T01:00:00.0,gen-227,-0.0
2019-01-01T00:00:00.0,gen-142,1.0
2019-01-01T01:00:00.0,gen-142,-0.0
2019-01-01T00:00:00.0,gen-586,1.0
2019-01-01T01:00:00.0,gen-586,-0.0
2019-01-01T00:00:00.0,gen-918,1.0
2019-01-01T01:00:00.0,gen-918,-0.0
2019-01-01T00:00:00.0,gen-1453,1.0
